confidence,validation
0.9965362,1
0.9984046,1
0.99990344,1
0.98672724,1
0.561795,1
0.9989648,1
0.98492026,1
0.99824953,1
0.9965317,1
0.9931593,1
0.99379474,1
0.9875823,1
0.9854028,1
0.9848881,1
0.91164494,1
0.7918844,1
0.9960127,1
0.9965396,1
0.9988111,1
0.9927509,1
0.99559605,1
0.9923291,1
0.999092,1
0.998494,1
0.99688196,1
0.3468746,0
0.95128083,1
0.99321413,1
0.99379134,1
0.96786666,1
0.9941931,1
0.9944718,1
0.9944184,1
0.9991003,1
0.96989965,1
0.9958396,1
0.9984677,1
0.9991623,1
0.97497785,1
0.99698806,1
0.9954171,1
0.9179145,1
0.9953086,1
0.9805269,1
0.9981821,1
0.9995966,1
0.9739853,1
0.9915564,1
0.97203565,1
0.9930776,1
0.9985105,1
0.998389,1
0.9918973,1
0.99917316,1
0.961753,1
0.99839854,1
0.99944276,1
0.9873147,1
0.99729145,1
0.91860676,1
0.9635263,1
0.995455,1
0.999562,1
0.9957737,1
0.99752074,1
0.9981743,1
0.9971881,1
0.99688125,1
0.99329543,1
0.9984158,1
0.99837935,1
0.99886435,1
0.98934937,1
0.99878126,1
0.99919575,1
0.9992029,1
0.99341893,1
0.9994943,1
0.9962354,1
0.98518896,1
0.9987736,1
0.9993885,1
0.99153376,1
0.99977064,1
0.9997796,1
0.82400537,1
0.9978657,1
0.91479564,1
0.99812484,1
0.99763685,1
0.9993613,1
0.99813646,1
0.95983636,1
0.9977037,1
0.9967127,1
0.9975723,1
0.99467295,1
0.94603884,1
0.99934953,1
0.99964094,1
0.9900001,1
0.9994799,1
0.9994793,1
0.9890909,1
0.9779918,1
0.9964932,1
0.18662441,1
0.99929786,1
0.9931492,1
0.9878825,1
0.99016476,1
0.9969578,1
0.9993605,1
0.9977329,1
0.97666883,1
0.9946914,1
0.99900067,1
0.9995464,1
0.9980775,1
0.9985424,1
0.8538939,1
0.98907876,1
0.9994768,1
0.9981029,1
0.9982249,1
0.93738747,1
0.5744598,1
0.99938595,1
0.9995532,1
0.9964497,1
0.97912264,1
0.59618163,1
0.99851704,1
0.99907875,1
0.99828994,1
0.80571866,0
0.9877262,1
0.98627853,1
0.996279,1
0.98941684,1
0.9974525,1
0.9932258,1
0.9991045,1
0.99684,1
0.94701767,1
0.96135116,1
0.9990091,1
0.9965355,1
0.99779516,1
0.99903864,1
0.9989299,1
0.8569772,1
0.9978497,1
0.99133575,1
0.99826616,1
0.9992304,1
0.9842036,1
0.9867376,1
0.99943286,1
0.99908316,1
0.97383237,0
0.99388623,1
0.9050019,1
0.9988357,1
0.9954958,1
0.9883282,1
0.9959314,1
0.99303687,1
0.99599963,1
0.99959207,1
0.9957483,1
0.33813047,1
0.99901325,1
0.99681354,1
0.9993824,1
0.9987022,1
0.99886185,1
0.9947094,1
0.99858016,1
0.98337626,1
0.9980293,1
0.9990192,1
0.954902,1
0.9985631,1
0.99258083,1
0.9337505,1
0.99603534,1
0.91728854,1
0.99905014,1
0.96931076,1
0.9973732,1
0.99165547,1
0.9849633,1
0.9957979,1
0.9957474,1
0.97893703,1
0.9954356,1
0.99891996,1
0.9967285,1
0.99970436,1
0.9989862,1
0.9962919,1
0.56368244,1
0.99883604,1
0.94116354,1
0.99957144,1
0.99816394,1
0.92894053,1
0.98828125,1
0.99539614,1
0.9976113,1
0.9681836,1
0.94173825,1
0.72349596,1
0.99938357,1
0.9974067,1
0.99817574,1
0.9946072,1
0.9968921,1
0.9967218,1
0.93796945,1
0.99538934,1
0.9878087,1
