confidence,validation
0.111028075,0
0.5427574,1
0.17898357,1
0.8609053,1
0.6965505,1
0.07935023,1
0.36490715,1
0.15408278,1
0.9153838,1
0.68575895,1
0.29703295,1
0.058119535,1
0.018303037,1
0.2730167,1
0.82188153,1
0.06337869,1
0.7903553,1
0.27006888,0
0.44791543,1
0.76108646,1
0.48940694,1
0.0731591,1
0.64950955,0
0.3723508,0
0.63913846,1
0.38539052,1
0.91926086,1
0.94495165,1
0.35304916,1
0.08001554,1
0.7852851,1
0.6639519,1
0.63333905,1
0.7580675,0
0.80871034,0
0.4885738,1
0.59249794,1
0.48162735,0
0.16167045,1
0.4543984,0
0.81309986,1
0.41018522,1
0.2709509,0
0.24822223,1
0.63598406,1
0.77474225,1
0.17171097,1
0.44985974,0
0.051606417,1
0.6786823,1
0.6826472,1
0.95231843,1
0.37084413,0
0.5049635,0
0.12099004,1
0.05559075,1
0.60769546,1
0.67470133,1
0.99626803,1
0.93253434,1
0.560531,1
0.16502059,1
0.90984464,1
0.061995983,1
0.70652807,1
0.052316546,0
0.89064443,1
0.7010968,1
0.7860242,1
0.38830197,0
0.9714519,1
0.41374302,1
0.36852658,1
0.1257323,1
0.28481102,0
0.40760767,1
0.1564151,0
0.8046136,1
0.2977655,1
0.55803573,1
0.45456004,1
0.7241223,1
0.5178621,0
0.97356236,1
0.7934153,1
0.48749697,1
0.29384947,1
0.866241,1
0.14880419,1
0.44239104,1
0.16739869,0
0.17182624,1
0.46256077,0
0.6780417,1
0.88268816,1
0.24651074,0
0.7456163,1
0.39756978,1
0.44171035,1
0.9239615,1
0.44136477,1
0.79085517,1
0.6736635,1
0.71204066,1
0.13332093,1
0.074053645,0
0.64484537,1
0.57278776,1
0.6459676,1
0.65364134,1
0.9811045,1
0.04994273,0
0.7362343,1
0.3977579,1
0.9263351,0
0.27110922,0
0.044148564,1
0.059760213,0
0.9282999,1
0.07822585,0
0.8368014,1
0.8731841,0
0.15355253,1
0.8097327,1
0.59200716,1
0.74128413,0
0.9535239,1
0.17450011,1
0.47533143,1
0.55864,1
0.72647524,1
0.8470583,1
0.20010293,0
0.4866438,0
0.0443089,0
0.28044724,1
0.9895891,1
0.9664202,1
0.56731176,1
0.64550877,1
0.9656249,1
0.9363179,1
0.751598,1
0.85186744,0
0.2702186,1
0.52587247,1
0.8267616,1
0.81962085,1
0.27245378,1
0.79064846,1
0.6891751,1
0.6047207,1
0.13602793,0
0.23676038,1
0.7879877,1
0.9264308,1
0.22660851,1
0.62700176,1
0.008388281,0
0.86716855,0
0.6607095,1
0.3202045,1
0.95380175,1
0.3486576,0
0.9990194,1
0.47361076,1
0.018483043,1
0.31161094,1
0.5823574,1
0.17317379,0
0.52338374,0
0.52549195,1
0.47909224,1
0.91804326,0
0.10441601,1
0.9706272,1
0.2798617,1
0.8872622,1
0.6808027,0
0.34119403,0
0.5785289,1
0.8923042,1
0.50415635,0
0.9936744,1
0.68336904,1
0.8327055,1
0.57630575,1
0.47576857,1
0.26148546,1
0.60975873,0
0.108080745,0
0.6695101,1
0.5693457,1
0.2168895,1
0.6577556,1
0.3412373,1
0.80770254,1
0.53595066,0
0.2235564,1
0.3440243,0
0.047454834,1
0.33003056,1
0.46160316,1
0.70703566,0
0.004224658,0
0.21616113,0
0.33604074,0
0.33215594,1
0.3014003,1
0.5013969,0
0.37188208,1
0.9804169,1
0.121759176,1
0.72892725,1
0.17441142,0
0.96099055,1
0.29463708,1
0.7669518,1
0.6533781,1
0.2171253,1
0.8939698,1
0.4251665,1
0.4964999,1
0.6524863,1
0.10643554,1
0.17741561,1
0.71865404,1
0.57411087,1
0.8164741,1
0.73164153,1
0.9087405,1
0.35785544,0
0.84162164,1
0.19341743,1
0.7658948,1
0.06193912,0
0.9942317,1
0.9785551,1
0.25392675,0
0.08980203,0
0.061837554,1
0.74957156,1
0.5174233,1
0.45742524,1
0.104052186,0
0.33999598,0
0.8726629,1
0.6326208,1
0.42014575,1
0.706534,1
0.6234175,1
0.44511223,1
0.5024369,1
0.58746135,1
0.27036548,1
0.064023495,0
0.40478992,1
0.85023093,1
0.5805929,1
0.7640015,1
0.8503562,1
0.54824805,1
0.5769756,1
0.6162739,1
0.21600878,1
0.091046214,1
0.81436944,1
0.34545207,1
0.69698477,1
0.59630966,1
0.1382345,1
0.04292643,1
0.8150437,1
0.48804212,0
0.6716628,1
0.9199225,1
0.07684684,1
0.793296,1
0.40402067,1
0.1383177,0
0.36620998,0
0.30822372,0
0.46530974,1
0.62320495,1
0.09109342,1
0.57480526,1
0.90569174,1
0.49319232,1
0.46810699,0
0.22416222,1
0.13023758,1
0.624802,1
0.8110728,1
0.09855747,1
0.47733736,0
0.22288859,1
0.37843096,1
0.5847564,1
0.6205257,1
0.16451347,1
0.27396202,1
0.6050346,1
0.4653442,0
0.18338609,0
0.46880352,1
0.57403314,1
0.402856,1
0.010267258,1
0.3630811,1
0.21107423,1
0.1540376,1
0.34056425,0
0.24717367,1
0.22513855,0
0.78072786,1
